survey,wave,survey_year
RAND_HRS,1,1992
RAND_HRS,2,1994
RAND_HRS,3,1996
RAND_HRS,4,1998
RAND_HRS,5,2000
RAND_HRS,6,2002
RAND_HRS,7,2004
RAND_HRS,8,2006
RAND_HRS,9,2008
RAND_HRS,10,2010
RAND_HRS,11,2012
RAND_HRS,12,2014
RAND_HRS,13,2016
RAND_HRS,14,2018
RAND_HRS,15,2020
MHAS,1,2001
MHAS,2,2003
MHAS,3,2012
MHAS,4,2015
MHAS,5,2018
SHARE,1,2004
SHARE,2,2006
SHARE,3,2008
SHARE,4,2010
SHARE,5,2012
SHARE,6,2014
SHARE,7,2016
SHARE,8,2018
SHARE,9,2020
SHARE,10,2022
ELSA,1,2002
ELSA,2,2004
ELSA,3,2006
ELSA,4,2008
ELSA,5,2010
ELSA,6,2012
ELSA,7,2014
ELSA,8,2016
ELSA,9,2018
CHARLS,1,2012
CHARLS,2,2014
CHARLS,3,2018
KLoSA,1,2006
KLoSA,2,2008
KLoSA,3,2010
KLoSA,4,2012
KLoSA,5,2014
KLoSA,6,2016
KLoSA,7,2018
KLoSA,8,2020